Benchmark,Disk,Test,Replica,file_size_in,reg_size_in,random_write(KB/s),random_rewrite(KB/s),random-reread,time,timestamp
iozone,/dev/md5,74,2,32768,1,32768,1,5,0:00:00.080058,2023-06-03 02:02:07.217792
iozone,/dev/md5,74,3,32768,1,32768,1,5,0:00:00.086474,2023-06-03 02:02:07.304436
iozone,/dev/md5,75,1,32768,1,32768,1,5,0:00:00.085338,2023-06-03 02:02:07.389952
iozone,/dev/md5,75,2,32768,1,32768,1,5,0:00:00.086860,2023-06-03 02:02:07.476981
iozone,/dev/md5,75,3,32768,1,32768,1,5,0:00:00.085683,2023-06-03 02:02:07.562833
iozone,/dev/md5,76,1,32768,4,32768,4,5,0:00:00.078694,2023-06-03 02:02:07.641720
iozone,/dev/md5,76,2,32768,4,32768,4,5,0:00:00.086833,2023-06-03 02:02:07.728721
iozone,/dev/md5,76,3,32768,4,32768,4,5,0:00:00.104370,2023-06-03 02:02:07.833263
iozone,/dev/md5,77,1,32768,4,32768,4,5,0:00:00.086211,2023-06-03 02:02:07.919652
iozone,/dev/md5,77,2,32768,4,32768,4,5,0:00:00.087428,2023-06-03 02:02:08.007249
iozone,/dev/md5,77,3,32768,4,32768,4,5,0:00:00.088257,2023-06-03 02:02:08.095674
iozone,/dev/md5,78,1,32768,4,32768,4,5,0:00:00.078021,2023-06-03 02:02:08.173871
iozone,/dev/md5,78,2,32768,4,32768,4,5,0:00:00.096565,2023-06-03 02:02:08.270604
iozone,/dev/md5,78,3,32768,4,32768,4,5,0:00:00.079584,2023-06-03 02:02:08.350361
iozone,/dev/md5,79,1,32768,8,32768,8,5,0:00:00.085082,2023-06-03 02:02:08.435632
iozone,/dev/md5,79,2,32768,8,32768,8,5,0:00:00.079204,2023-06-03 02:02:08.515021
iozone,/dev/md5,79,3,32768,8,32768,8,5,0:00:00.078917,2023-06-03 02:02:08.594107
iozone,/dev/md5,80,1,32768,8,32768,8,5,0:00:00.086880,2023-06-03 02:02:08.681162
iozone,/dev/md5,80,2,32768,8,32768,8,5,0:00:00.086153,2023-06-03 02:02:08.767483
iozone,/dev/md5,80,3,32768,8,32768,8,5,0:00:00.085739,2023-06-03 02:02:08.853391
iozone,/dev/md5,81,1,32768,8,32768,8,5,0:00:00.080060,2023-06-03 02:02:08.933628
iozone,/dev/md5,81,2,32768,8,32768,8,5,0:00:00.079434,2023-06-03 02:02:09.013230
iozone,/dev/md5,81,3,32768,8,32768,8,5,0:00:00.079544,2023-06-03 02:02:09.092945
iozone,/dev/md5,82,1,32768,16,32768,16,5,0:00:00.078228,2023-06-03 02:02:09.171354
iozone,/dev/md5,82,2,32768,16,32768,16,5,0:00:00.079048,2023-06-03 02:02:09.250571
iozone,/dev/md5,82,3,32768,16,32768,16,5,0:00:00.108501,2023-06-03 02:02:09.359244
iozone,/dev/md5,83,1,32768,16,32768,16,5,0:00:00.079671,2023-06-03 02:02:09.439097
iozone,/dev/md5,83,2,32768,16,32768,16,5,0:00:00.085413,2023-06-03 02:02:09.524680
iozone,/dev/md5,83,3,32768,16,32768,16,5,0:00:00.079297,2023-06-03 02:02:09.604147
iozone,/dev/md5,84,1,32768,16,32768,16,5,0:00:00.079111,2023-06-03 02:02:09.683437
iozone,/dev/md5,84,2,32768,16,32768,16,5,0:00:00.079769,2023-06-03 02:02:09.763373
iozone,/dev/md5,84,3,32768,16,32768,16,5,0:00:00.087168,2023-06-03 02:02:09.850712
iozone,/dev/md5,85,1,32768,32,32768,32,5,0:00:00.087343,2023-06-03 02:02:09.938232
iozone,/dev/md5,85,2,32768,32,32768,32,5,0:00:00.086849,2023-06-03 02:02:10.025263
iozone,/dev/md5,85,3,32768,32,32768,32,5,0:00:00.079427,2023-06-03 02:02:10.104858
iozone,/dev/md5,86,1,32768,32,32768,32,5,0:00:00.086131,2023-06-03 02:02:10.191166
iozone,/dev/md5,86,2,32768,32,32768,32,5,0:00:00.086549,2023-06-03 02:02:10.277883
iozone,/dev/md5,86,3,32768,32,32768,32,5,0:00:00.086868,2023-06-03 02:02:10.364921
iozone,/dev/md5,87,1,32768,32,32768,32,5,0:00:00.086280,2023-06-03 02:02:10.451379
iozone,/dev/md5,87,2,32768,32,32768,32,5,0:00:00.087850,2023-06-03 02:02:10.539397
iozone,/dev/md5,87,3,32768,32,32768,32,5,0:00:00.085934,2023-06-03 02:02:10.625499
iozone,/dev/md5,88,1,32768,64,32768,64,5,0:00:00.079754,2023-06-03 02:02:10.705431
iozone,/dev/md5,88,2,32768,64,32768,64,5,0:00:00.077778,2023-06-03 02:02:10.783375
iozone,/dev/md5,88,3,32768,64,32768,64,5,0:00:00.088128,2023-06-03 02:02:10.871674
iozone,/dev/md5,89,1,32768,64,32768,64,5,0:00:00.085119,2023-06-03 02:02:10.956969
